vns	run-1	p1-a_assembly_robots	part_00	db596973-14f2-4693-9700-5e4c36955da0
vns	run-1	p1-a_assembly_robots	part_01	643c87ba-194b-4262-abc1-c805337d148a
vns	run-1	p1-a_assembly_robots	part_02	bc3dade6-02d7-479b-9b3b-f64855385480
vns	run-1	p1-a_assembly_robots	part_03	b5117c0c-69de-445f-a553-25d190807d0c
vns	run-1	p1-a_assembly_robots	part_04	4d8050bf-97ee-43ba-b98d-a0865e8336e9
vns	run-1	p1-a_assembly_robots	part_05	308cdfd4-a79b-4a8d-b446-f94301bf4c92
vns	run-1	p1-a_assembly_robots	part_06	76d75213-f4f7-49b4-a4a1-2ae3b371ef98
vns	run-1	p1-a_assembly_robots	part_07	bdfdf445-936e-4d05-901c-47679deda00a
vns	run-1	p1-a_assembly_robots	part_08	9a6d7e27-03c3-494e-8c1c-5d05dcc52132
vns	run-1	p1-b_self-driving_shuttle	part_00	19b99a6d-468d-4f24-835e-e43944e2ffc6
vns	run-1	p1-b_self-driving_shuttle	part_01	cb00ff36-fbca-4385-8867-9d476a1ed928
vns	run-1	p1-b_self-driving_shuttle	part_02	6d0ba88d-bf59-4357-9e25-9f60d635b8f5
vns	run-1	p1-b_self-driving_shuttle	part_03	d0b6cbdb-81cd-4aaa-b5a0-a19e4178090b
vns	run-1	p1-b_self-driving_shuttle	part_04	cedf2d84-5de8-4e7e-9179-264340dbd727
vns	run-1	p1-b_self-driving_shuttle	part_05	0642ea4e-54dd-4145-818d-a64b8a5653d9
vns	run-1	p1-c_lunar_rover	part_00	aJ_vOZX7_wLvjFnXZqMiR
vns	run-1	p1-c_lunar_rover	part_01	ZKiTzV3e0E4TsdoLENCRd
vns	run-1	p1-c_lunar_rover	part_02	N1n9emWagVTeCaO5_F2Eb
vns	run-1	p1-c_lunar_rover	part_03	aP_NAoKYPyemyOlhYXofK
vns	run-1	p1-c_lunar_rover	part_04	cbl4H93nQfiVDEU_GCyrz
vns	run-1	p1-c_lunar_rover	part_05	tCaMp1xgvGUXgn3lDGFmP
